name,year,selling_price,km_driven,transmission,mileage,engine,max_power,seats,fuel_cng,fuel_diesel,fuel_lpg,fuel_petrol,seller_type_dealer,seller_type_individual,seller_type_trustmark_dealer,owner_first_owner,owner_fourth_&_above_owner,owner_second_owner,owner_test_drive_car,owner_third_owner
tata_indigo_cs_ls_(tdi)_bs-iii,2016,370000,90000,1,19.09,1405,69.01,5.0,0,1,0,0,0,1,0,1,0,0,0,0
volkswagen_vento_petrol_highline_at,2011,250000,140000,0,14.4,1598,103.6,5.0,0,0,0,1,0,1,0,0,0,1,0,0
renault_kwid_climber_1.0_mt,2017,290000,50000,1,23.01,999,67.0,5.0,0,0,0,1,0,1,0,1,0,0,0,0
toyota_glanza_g_smart_hybrid,2019,700000,5000,1,23.87,1197,88.5,5.0,0,0,0,1,0,1,0,1,0,0,0,0
maruti_swift_amt_vvt_vxi,2019,650000,5621,0,22.0,1197,81.8,5.0,0,0,0,1,0,0,1,1,0,0,0,0
maruti_swift_dzire_vdi,2012,320000,90000,1,19.3,1248,73.9,5.0,0,1,0,0,0,1,0,0,0,0,0,1
volkswagen_polo_gt_tdi,2012,400000,110000,1,19.7,1598,103.6,5.0,0,1,0,0,0,1,0,0,0,1,0,0
maruti_alto_k10_lxi,2014,229999,60000,1,20.92,998,67.1,5.0,0,0,0,1,0,1,0,0,0,1,0,0
hyundai_i10_magna,2009,142000,110000,1,20.36,1197,78.9,5.0,0,0,0,1,0,1,0,1,0,0,0,0
tata_new_safari_dicor_2.2_ex_4x2,2011,300000,80000,1,11.57,2179,138.1,7.0,0,1,0,0,0,1,0,0,0,1,0,0
hyundai_eon_era_plus,2014,250000,80000,1,21.1,814,55.2,5.0,0,0,0,1,0,1,0,0,0,1,0,0
datsun_redigo_1.0_t_option,2017,300000,20000,1,22.5,999,67.0,5.0,0,0,0,1,0,1,0,1,0,0,0,0
skoda_rapid_1.6_mpi_at_elegance,2016,645000,11000,0,14.3,1598,103.5,5.0,0,0,0,1,1,0,0,1,0,0,0,0
toyota_innova_2.5_g_(diesel)_8_seater_bs_iv,2011,900000,110000,1,12.8,2494,102.0,8.0,0,1,0,0,0,1,0,1,0,0,0,0
renault_kwid_climber_1.0_amt,2017,450000,40000,0,24.04,999,67.0,5.0,0,0,0,1,0,1,0,1,0,0,0,0
hyundai_eon_sportz,2012,190000,65000,1,21.1,814,55.2,5.0,0,0,0,1,0,1,0,1,0,0,0,0
maruti_alto_lxi,2012,145000,70000,1,19.7,796,46.3,5.0,0,0,0,1,0,1,0,1,0,0,0,0
tata_new_safari_dicor_2.2_lx_4x2,2012,200000,90000,1,11.57,2179,138.1,7.0,0,1,0,0,0,1,0,0,0,0,0,1
maruti_ertiga_vdi,2014,570000,79000,1,20.77,1248,88.76,7.0,0,1,0,0,0,1,0,0,0,1,0,0
maruti_swift_vdi,2013,409999,100000,1,22.9,1248,74.0,5.0,0,1,0,0,0,1,0,0,0,0,0,1
maruti_wagon_r_vxi_bs_iv,2013,300000,57000,1,20.51,998,67.04,5.0,0,0,0,1,0,1,0,0,0,1,0,0
maruti_wagon_r_lxi,2013,225000,58343,1,21.79,998,67.05,5.0,0,0,0,1,0,0,1,1,0,0,0,0
chevrolet_tavera_neo_3_lt_9_seats_bsiii,2013,600000,90000,1,13.58,2499,72.4,9.0,0,1,0,0,0,1,0,1,0,0,0,0
toyota_innova_2.5_vx_(diesel)_7_seater,2014,869999,217000,1,12.99,2494,100.6,7.0,0,1,0,0,0,1,0,0,0,1,0,0
maruti_baleno_delta,2017,620000,37000,1,21.01,1197,81.8,5.0,0,0,0,1,1,0,0,1,0,0,0,0
maruti_swift_amt_vvt_vxi,2019,650000,5621,0,22.0,1197,81.8,5.0,0,0,0,1,0,0,1,1,0,0,0,0
maruti_wagon_r_vxi_optional,2018,400000,17500,1,20.51,998,67.04,5.0,0,0,0,1,0,1,0,1,0,0,0,0
honda_jazz_1.2_s_i_vtec,2015,671000,48228,1,18.7,1199,88.7,5.0,0,0,0,1,1,0,0,1,0,0,0,0
hyundai_i20_asta_1.4_crdi,2014,600000,100000,1,22.54,1396,88.73,5.0,0,1,0,0,0,1,0,0,1,0,0,0
hyundai_i20_active_1.4_sx,2015,600000,108000,1,21.19,1396,88.73,5.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_celerio_zdi,2015,340000,40000,1,27.62,793,47.0,5.0,0,1,0,0,0,1,0,0,0,1,0,0
tata_indigo_lx,2009,85000,80000,1,17.0,1405,70.0,5.0,0,1,0,0,0,1,0,0,0,1,0,0
hyundai_grand_i10_at_asta,2015,465000,63063,0,18.9,1197,82.0,5.0,0,0,0,1,1,0,0,1,0,0,0,0
maruti_ertiga_vxi,2015,423000,60000,1,16.02,1373,93.7,7.0,0,0,0,1,0,1,0,0,0,1,0,0
tata_sumo_ex_tc,2005,225000,188000,1,12.3,1948,90.0,7.0,0,1,0,0,0,1,0,1,0,0,0,0
tata_safari_storme_ex,2015,503000,110000,1,14.1,2179,147.94,7.0,0,1,0,0,0,1,0,1,0,0,0,0
mahindra_scorpio_s3_9_seater_bsiv,2018,1000000,35000,1,15.4,2523,75.0,7.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_swift_dzire_vdi,2015,625000,50000,1,26.59,1248,74.0,5.0,0,1,0,0,0,1,0,1,0,0,0,0
ford_figo_1.2p_titanium_mt,2019,675000,2789,1,18.16,1196,86.8,5.0,0,0,0,1,1,0,0,1,0,0,0,0
maruti_vitara_brezza_vdi_option,2017,775000,100000,1,24.3,1248,88.5,5.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_800_ac,2012,100000,30000,1,16.1,796,37.0,4.0,0,0,0,1,0,1,0,1,0,0,0,0
mahindra_xuv500_at_w10_awd,2016,1300000,40000,0,16.0,2179,140.0,7.0,0,1,0,0,0,1,0,1,0,0,0,0
mahindra_scorpio_1.99_s10_4wd,2016,1000000,112000,1,15.4,1997,120.0,7.0,0,1,0,0,1,0,0,0,0,1,0,0
volkswagen_vento_diesel_highline,2012,280000,80000,1,20.54,1598,103.6,5.0,0,1,0,0,0,1,0,0,0,0,0,1
maruti_swift_vdi,2013,409999,90000,1,22.9,1248,74.0,5.0,0,1,0,0,0,1,0,0,0,1,0,0
skoda_rapid_1.6_mpi_at_elegance,2016,645000,11000,0,14.3,1598,103.5,5.0,0,0,0,1,1,0,0,1,0,0,0,0
toyota_fortuner_3.0_diesel,2010,750000,150000,1,11.5,2982,171.0,7.0,0,1,0,0,0,1,0,0,0,1,0,0
honda_brio_s_mt,2016,400000,68000,1,19.4,1198,86.8,5.0,0,0,0,1,0,1,0,1,0,0,0,0
maruti_baleno_alpha_1.3,2017,740000,24400,1,27.39,1248,74.0,5.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_swift_amt_zxi,2018,600000,69779,0,22.0,1197,81.8,5.0,0,0,0,1,1,0,0,1,0,0,0,0
maruti_wagon_r_amt_vxi,2015,390000,50000,0,20.51,998,67.0,5.0,0,0,0,1,0,1,0,0,0,1,0,0
maruti_omni_8_seater_bsii,2009,101000,90000,1,19.7,796,35.0,8.0,0,0,0,1,0,1,0,0,1,0,0,0
hyundai_verna_1.6_xi_abs,2008,275000,52000,1,13.9,1599,103.2,5.0,0,0,0,1,0,1,0,0,0,1,0,0
maruti_wagon_r_vxi_minor,2011,265000,80000,1,18.9,998,67.1,5.0,0,0,0,1,0,1,0,1,0,0,0,0
maruti_swift_amt_zxi,2018,600000,69779,0,22.0,1197,81.8,5.0,0,0,0,1,1,0,0,1,0,0,0,0
maruti_swift_amt_vvt_vxi,2019,650000,5621,0,22.0,1197,81.8,5.0,0,0,0,1,0,0,1,1,0,0,0,0
renault_captur_1.5_diesel_rxt,2018,1265000,12000,1,20.37,1461,108.45,5.0,0,1,0,0,0,1,0,1,0,0,0,0
hyundai_eon_era_plus,2013,165000,45000,1,21.1,814,55.2,5.0,0,0,0,1,0,1,0,0,0,1,0,0
maruti_wagon_r_lxi,2013,225000,58343,1,21.79,998,67.05,5.0,0,0,0,1,0,0,1,1,0,0,0,0
maruti_swift_dzire_vdi,2013,450000,120000,1,23.4,1248,74.0,5.0,0,1,0,0,0,1,0,0,0,1,0,0
hyundai_i10_magna_1.1l,2009,160000,35000,1,19.81,1086,68.05,5.0,0,0,0,1,0,1,0,0,0,0,0,1
hyundai_creta_1.4_e_plus,2019,950000,15000,1,22.1,1396,88.7,5.0,0,1,0,0,0,1,0,1,0,0,0,0
ambassador_grand_1500_dsz_bsiii,2008,122000,60000,1,12.8,1995,52.0,5.0,0,1,0,0,0,1,0,0,0,1,0,0
toyota_innova_2.5_v_diesel_7-seater,2010,750000,250000,1,12.8,2494,102.0,7.0,0,1,0,0,0,1,0,0,0,1,0,0
maruti_swift_ddis_vdi,2017,610000,49000,1,28.4,1248,74.0,5.0,0,1,0,0,0,1,0,1,0,0,0,0
nissan_sunny_diesel_xv,2012,290000,112072,1,21.64,1461,84.8,5.0,0,1,0,0,0,1,0,1,0,0,0,0
hyundai_i20_1.2_asta_option,2018,700000,30000,1,18.6,1197,81.83,5.0,0,0,0,1,0,1,0,1,0,0,0,0
hyundai_grand_i10_magna_at,2019,625000,4337,0,18.9,1197,82.0,5.0,0,0,0,1,1,0,0,1,0,0,0,0
hyundai_xcent_1.2_vtvt_e,2019,500000,60000,1,20.14,1197,81.86,5.0,0,0,0,1,0,1,0,1,0,0,0,0
chevrolet_tavera_b1-10_seats_bsii,2009,295000,195000,1,14.8,2499,80.0,10.0,0,1,0,0,0,1,0,0,0,1,0,0
maruti_alto_lxi,2007,130000,90000,1,19.7,796,46.3,5.0,0,0,0,1,0,1,0,0,0,1,0,0
maruti_swift_dzire_vxi_1.2,2018,650000,15000,1,21.21,1197,81.8,5.0,0,0,0,1,0,1,0,1,0,0,0,0
hyundai_i20_1.2_spotz,2017,640000,22512,1,18.6,1197,81.83,5.0,0,0,0,1,0,1,0,1,0,0,0,0
maruti_alto_800_vxi,2016,240000,50000,1,22.74,796,47.3,5.0,0,0,0,1,0,1,0,1,0,0,0,0
hyundai_verna_crdi_1.6_at_sx_plus,2018,1000000,30000,0,22.0,1582,126.2,5.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_ertiga_vdi,2013,480000,110000,1,20.77,1248,88.76,7.0,0,1,0,0,0,1,0,0,0,0,0,1
maruti_zen_estilo_lxi_bsiii,2007,85000,160000,1,18.2,998,67.1,5.0,0,0,0,1,0,1,0,0,1,0,0,0
hyundai_i10_magna_1.2_itech_se,2014,275000,53000,1,20.36,1197,78.9,5.0,0,0,0,1,0,1,0,1,0,0,0,0
honda_cr-v_2.0l_2wd_at,2006,125000,200000,0,13.1,1997,141.1,5.0,0,0,0,1,0,1,0,0,0,0,0,1
renault_duster_rxz_110ps_amt_bsiv,2017,750000,20171,0,19.87,1461,108.5,5.0,0,1,0,0,1,0,0,1,0,0,0,0
mahindra_xuv500_w10_1.99_mhawk,2016,1165000,50000,1,16.0,1997,140.0,7.0,0,1,0,0,0,1,0,1,0,0,0,0
mahindra_bolero_2011-2019_zlx,2015,600000,80000,1,15.96,2523,62.1,7.0,0,1,0,0,0,1,0,1,0,0,0,0
tata_safari_dicor_2.2_lx_4x2,2011,425000,60000,1,13.93,2179,138.03,7.0,0,1,0,0,0,1,0,0,0,1,0,0
honda_brio_1.2_s_mt,2016,425000,22000,1,18.5,1198,86.8,5.0,0,0,0,1,0,1,0,1,0,0,0,0
tata_nexon_1.5_revotorq_xz_plus,2018,980000,20000,1,21.5,1497,108.5,5.0,0,1,0,0,0,1,0,1,0,0,0,0
datsun_go_t_option_bsiv,2016,335000,40000,1,20.63,1198,67.0,5.0,0,0,0,1,1,0,0,1,0,0,0,0
maruti_baleno_alpha_1.3,2018,740000,38817,1,27.39,1248,74.0,5.0,0,1,0,0,1,0,0,1,0,0,0,0
tata_indigo_cs_gls_bsiii,2011,120000,70000,1,15.2,1193,65.0,5.0,0,0,0,1,0,1,0,0,0,1,0,0
maruti_sx4_s_cross_2015-2017_ddis_200_sigma,2017,650000,44000,1,23.65,1248,88.5,5.0,0,1,0,0,1,0,0,1,0,0,0,0
maruti_alto_lxi,2006,94500,44000,1,19.7,796,46.3,5.0,0,0,0,1,0,1,0,1,0,0,0,0
maruti_ertiga_zdi,2013,700000,37659,1,20.77,1248,88.8,7.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_ertiga_zdi_plus,2019,1050000,20000,1,25.47,1248,88.5,7.0,0,1,0,0,0,1,0,1,0,0,0,0
mitsubishi_lancer_2.0_gld,2008,165000,120000,1,14.8,1998,68.0,5.0,0,1,0,0,0,1,0,0,0,0,0,1
hyundai_creta_1.6_crdi_sx_option,2015,1000000,50000,1,19.67,1582,126.2,5.0,0,1,0,0,0,1,0,1,0,0,0,0
toyota_innova_2.5_gx_(diesel)_7_seater,2014,700000,121000,1,12.99,2494,100.6,7.0,0,1,0,0,0,1,0,0,0,0,0,1
renault_kwid_amt,2018,400000,30000,0,24.04,999,67.0,5.0,0,0,0,1,0,1,0,0,0,1,0,0
mahindra_xylo_d2,2010,250000,120000,1,13.0,2489,95.0,8.0,0,1,0,0,0,1,0,0,0,1,0,0
hyundai_i20_1.2_asta_option,2017,700000,30000,1,18.6,1197,81.83,5.0,0,0,0,1,0,1,0,1,0,0,0,0
maruti_ciaz_zdi_plus,2015,630000,70000,1,26.21,1248,88.5,5.0,0,1,0,0,0,1,0,1,0,0,0,0
hyundai_grand_i10_1.2_crdi_sportz,2017,450000,56290,1,24.0,1186,73.97,5.0,0,1,0,0,1,0,0,1,0,0,0,0
mahindra_thar_crde,2017,775000,35000,1,16.55,2498,105.0,6.0,0,1,0,0,0,1,0,1,0,0,0,0
mahindra_xuv300_w8_option_diesel_bsiv,2019,1200000,15000,1,20.0,1497,115.0,5.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_eeco_cng_5_seater_ac,2020,409999,35000,1,20.88,1196,61.7,5.0,1,0,0,0,0,1,0,1,0,0,0,0
volkswagen_vento_diesel_highline,2013,330000,100000,1,20.54,1598,103.6,5.0,0,1,0,0,0,1,0,0,0,0,0,1
mahindra_xuv500_w8_4wd,2015,1050000,120000,1,15.1,2179,140.0,7.0,0,1,0,0,0,1,0,0,0,1,0,0
maruti_alto_800_lxi,2014,204999,15000,1,22.74,796,47.3,5.0,0,0,0,1,0,1,0,0,0,1,0,0
toyota_innova_2.5_e_diesel_ms_7-seater,2010,451999,120000,1,12.8,2494,102.0,7.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_baleno_rs_1.0_petrol,2019,780000,7200,1,21.1,998,100.5,5.0,0,0,0,1,0,1,0,1,0,0,0,0
tata_tiago_1.2_revotron_xt,2018,409999,35000,1,23.84,1199,84.0,5.0,0,0,0,1,0,1,0,0,0,1,0,0
mahindra_bolero_di_ac_bsiii,2005,250000,80000,1,13.6,2523,63.0,7.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_800_ac,2002,60000,52365,1,16.1,796,37.0,4.0,0,0,0,1,1,0,0,0,0,1,0,0
hyundai_i20_1.4_crdi_asta,2011,350000,100000,1,23.0,1396,90.0,5.0,0,1,0,0,0,1,0,0,0,1,0,0
maruti_swift_vvt_zxi,2017,625000,25000,1,22.0,1197,81.8,5.0,0,0,0,1,0,1,0,1,0,0,0,0
maruti_wagon_r_vxi_optional,2017,400000,70000,1,20.51,998,67.04,5.0,0,0,0,1,0,1,0,1,0,0,0,0
maruti_eeco_cng_5_seater_ac_bsiv,2018,375000,50000,1,21.94,1196,61.7,5.0,1,0,0,0,0,1,0,1,0,0,0,0
mahindra_scorpio_s3_9_seater_bsiv,2018,900000,60000,1,15.4,2523,75.0,7.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_wagon_r_vxi_bsiii,2012,260000,31000,1,18.9,998,67.1,5.0,0,0,0,1,0,1,0,1,0,0,0,0
maruti_alto_800_lxi,2012,200000,38000,1,24.7,796,47.3,5.0,0,0,0,1,1,0,0,0,0,1,0,0
mahindra_marazzo_m2_bsiv,2019,1075000,8600,1,17.3,1497,121.0,7.0,0,1,0,0,1,0,0,1,0,0,0,0
maruti_alto_k10_knightracer,2012,260000,16830,1,20.2,998,67.1,5.0,0,0,0,1,0,1,0,1,0,0,0,0
honda_city_i_dtec_v,2014,600000,70000,1,26.0,1498,98.6,5.0,0,1,0,0,0,1,0,1,0,0,0,0
renault_kwid_rxt,2017,340000,25000,1,25.17,799,53.3,5.0,0,0,0,1,0,1,0,1,0,0,0,0
volkswagen_jetta_2.0_tdi_comfortline,2010,400000,100000,1,15.0,1896,105.0,5.0,0,1,0,0,0,1,0,1,0,0,0,0
hyundai_creta_1.6_crdi_anniversary_edition,2016,819999,39000,1,19.67,1582,126.2,5.0,0,1,0,0,1,0,0,1,0,0,0,0
maruti_swift_amt_vvt_vxi,2019,650000,5621,0,22.0,1197,81.8,5.0,0,0,0,1,0,0,1,1,0,0,0,0
ford_ikon_1.4_tdci_duratorq,2009,160000,115000,1,13.8,1399,68.0,5.0,0,1,0,0,0,1,0,0,0,1,0,0
chevrolet_beat_diesel_ls,2014,190000,74321,1,25.44,936,56.3,5.0,0,1,0,0,1,0,0,1,0,0,0,0
honda_city_i_dtec_v,2014,640000,120000,1,26.0,1498,98.6,5.0,0,1,0,0,0,1,0,0,0,1,0,0
hyundai_grand_i10_1.2_kappa_magna_bsiv,2017,525000,10000,1,18.9,1197,81.86,5.0,0,0,0,1,0,1,0,1,0,0,0,0
nissan_sunny_diesel_xv,2013,375000,212000,1,21.64,1461,84.8,5.0,0,1,0,0,0,1,0,1,0,0,0,0
hyundai_i20_active_1.2_s,2017,600000,19000,1,17.19,1197,81.86,5.0,0,0,0,1,0,1,0,1,0,0,0,0
volkswagen_passat_highline_dsg_s,2008,585000,120000,0,14.3,1968,140.0,5.0,0,1,0,0,0,1,0,1,0,0,0,0
renault_duster_110ps_diesel_rxl,2014,600000,116000,1,19.01,1461,108.45,5.0,0,1,0,0,0,1,0,1,0,0,0,0
honda_wr-v_i-dtec_vx,2019,1000000,72000,1,25.5,1498,98.6,5.0,0,1,0,0,0,1,0,1,0,0,0,0
ford_figo_1.2p_titanium_mt,2017,600000,25000,1,18.16,1196,86.8,5.0,0,0,0,1,0,1,0,0,0,0,0,1
honda_brio_e_mt,2012,229999,110000,1,19.4,1198,86.8,5.0,0,0,0,1,0,1,0,1,0,0,0,0
hyundai_accent_gls_1.6_abs,2006,110000,140000,1,14.4,1599,94.0,5.0,0,0,0,1,0,1,0,0,0,1,0,0
datsun_go_t_option_bsiv,2018,430000,5000,1,20.63,1198,67.0,5.0,0,0,0,1,0,1,0,0,0,1,0,0
ford_figo_1.5d_base_mt,2017,430000,113000,1,25.83,1498,99.0,5.0,0,1,0,0,0,1,0,1,0,0,0,0
hyundai_i20_magna_1.4_crdi_(diesel),2013,451999,69000,1,21.9,1396,88.76,5.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_swift_dzire_vdi,2014,409999,150000,1,23.4,1248,74.0,5.0,0,1,0,0,0,1,0,0,0,0,0,1
hyundai_i20_1.2_magna,2012,265000,100000,1,18.5,1197,80.0,5.0,0,0,0,1,0,1,0,0,0,1,0,0
maruti_alto_k10_vxi,2015,300000,24000,1,23.95,998,67.05,5.0,0,0,0,1,0,1,0,1,0,0,0,0
hyundai_creta_1.4_ex_diesel,2019,1000000,15000,1,22.1,1396,88.7,5.0,0,1,0,0,0,1,0,1,0,0,0,0
hyundai_i10_sportz_1.1l_lpg,2015,375000,60000,1,19.2,1086,68.05,5.0,0,0,1,0,0,1,0,1,0,0,0,0
honda_city_1.5_v_at,2010,321000,60000,0,16.8,1497,118.0,5.0,0,0,0,1,0,1,0,0,0,1,0,0
toyota_innova_2.5_g_(diesel)_7_seater,2014,750000,120000,1,12.99,2494,100.6,7.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_swift_dzire_vxi_1.2_bs_iv,2017,650000,21000,1,22.0,1197,81.8,5.0,0,0,0,1,0,1,0,1,0,0,0,0
maruti_celerio_vxi,2017,350000,20000,1,23.1,998,67.04,5.0,0,0,0,1,0,1,0,0,0,1,0,0
maruti_swift_vdi_bsiii,2008,195000,90000,1,17.8,1248,75.0,5.0,0,1,0,0,0,1,0,0,0,0,0,1
maruti_alto_k10_vxi_airbag,2017,382000,40000,1,23.95,998,67.1,5.0,0,0,0,1,0,1,0,1,0,0,0,0
maruti_celerio_vxi,2017,425000,12000,1,23.1,998,67.04,5.0,0,0,0,1,0,1,0,1,0,0,0,0
chevrolet_optra_magnum_2.0_ls,2011,415000,78432,1,16.52,1991,123.7,5.0,0,1,0,0,0,1,0,1,0,0,0,0
tata_indigo_cr4,2013,290000,25000,1,23.57,1396,70.0,5.0,0,1,0,0,0,1,0,1,0,0,0,0
ford_ikon_1.6_exi_nxt,2003,150000,40000,1,14.2,1597,92.0,5.0,0,0,0,1,0,1,0,0,0,0,0,1
honda_city_i-dtec_vx,2019,1110000,10500,1,25.6,1498,97.9,5.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_ertiga_vdi,2012,560000,200000,1,20.77,1248,88.76,7.0,0,1,0,0,0,1,0,0,0,1,0,0
ford_endeavour_2.5l_4x2,2013,700000,62000,1,13.1,2499,141.0,7.0,0,1,0,0,1,0,0,1,0,0,0,0
hyundai_i20_1.4_asta_dual_tone,2017,750000,27000,1,22.54,1396,88.73,5.0,0,1,0,0,0,1,0,1,0,0,0,0
hyundai_i10_magna,2010,170000,90000,1,20.36,1197,78.9,5.0,0,0,0,1,0,1,0,0,0,0,0,1
hyundai_grand_i10_sportz,2014,400000,90000,1,18.9,1197,82.0,5.0,0,0,0,1,0,1,0,0,0,1,0,0
maruti_alto_lx_bsiii,2008,120000,80000,1,19.7,796,46.3,5.0,0,0,0,1,0,1,0,0,0,0,0,1
renault_duster_85ps_diesel_rxe,2014,500000,120000,1,20.45,1461,83.8,5.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_swift_vdi_optional,2016,600000,47000,1,25.2,1248,74.0,5.0,0,1,0,0,0,1,0,1,0,0,0,0
ford_figo_diesel_lxi,2010,210000,100000,1,20.0,1399,68.0,5.0,0,1,0,0,0,1,0,0,0,1,0,0
renault_duster_85ps_diesel_rxl,2015,550000,60000,1,20.45,1461,83.8,5.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_ertiga_zdi,2013,600000,60000,1,20.77,1248,88.8,7.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_baleno_zeta_automatic,2017,745000,10000,0,21.4,1197,83.1,5.0,0,0,0,1,0,1,0,1,0,0,0,0
maruti_ignis_1.2_amt_zeta_bsiv,2018,620000,15000,0,20.89,1197,81.8,5.0,0,0,0,1,0,1,0,1,0,0,0,0
hyundai_eon_era_plus,2017,254999,34000,1,21.1,814,55.2,5.0,0,0,0,1,0,1,0,1,0,0,0,0
toyota_innova_2.5_vx_(diesel)_7_seater,2013,750000,79328,1,12.99,2494,100.6,7.0,0,1,0,0,0,0,1,0,0,1,0,0
honda_city_1.5_e_mt,2008,229999,120000,1,17.0,1497,118.0,5.0,0,0,0,1,0,1,0,0,0,1,0,0
maruti_ertiga_shvs_zdi_plus,2017,800000,70000,1,24.52,1248,88.5,7.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_alto_lxi_bsiii,2010,150000,120000,1,19.7,796,46.3,5.0,0,0,0,1,0,1,0,0,0,1,0,0
maruti_wagon_r_vxi_bs_iv,2011,376000,60000,1,18.9,998,67.1,5.0,0,0,0,1,0,1,0,1,0,0,0,0
ford_figo_diesel_titanium,2010,170000,90000,1,20.0,1399,68.0,5.0,0,1,0,0,0,1,0,0,0,1,0,0
ford_figo_aspire_1.5_tdci_titanium,2018,372000,50000,1,25.83,1498,99.0,5.0,0,1,0,0,0,1,0,0,1,0,0,0
ford_fiesta_classic_1.4_duratorq_clxi,2012,300000,64000,1,17.8,1399,67.0,5.0,0,1,0,0,0,1,0,0,0,1,0,0
mahindra_scorpio_vls_at_2.2_mhawk,2012,440000,120000,0,11.79,2179,120.0,8.0,0,1,0,0,0,1,0,0,0,0,0,1
hyundai_verna_1.6_sx,2012,450000,120000,1,22.32,1582,126.32,5.0,0,1,0,0,0,1,0,0,0,1,0,0
mahindra_bolero_2011-2019_sle,2015,375000,80000,1,15.96,2523,62.1,7.0,0,1,0,0,0,1,0,1,0,0,0,0
mahindra_scorpio_ex,2014,550000,60000,1,14.0,2523,75.0,8.0,0,1,0,0,0,1,0,1,0,0,0,0
toyota_innova_2.5_g_(diesel)_7_seater,2012,730000,250000,1,12.99,2494,100.0,7.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_ertiga_vdi,2015,650000,110000,1,20.77,1248,88.76,7.0,0,1,0,0,0,1,0,0,0,0,0,1
maruti_swift_amt_zxi,2018,600000,69779,0,22.0,1197,81.8,5.0,0,0,0,1,1,0,0,1,0,0,0,0
renault_duster_85ps_diesel_rxl_optional,2012,400000,100000,1,20.46,1461,83.8,5.0,0,1,0,0,0,1,0,0,0,1,0,0
hyundai_i20_asta_option_1.2,2017,595000,30030,1,18.6,1197,81.83,5.0,0,0,0,1,1,0,0,1,0,0,0,0
renault_kwid_1.0,2016,220000,20000,1,23.01,999,67.0,5.0,0,0,0,1,0,1,0,1,0,0,0,0
